"Campaign","Ad group","Keyword","Match type","Status"
"DEV - New Plan - Search - Mobile","Talah - EN","Talah","Exact","Enabled"
"DEV - Palm Hills Developments - Search - Mobile","VILLAGE DE LA CAPITALE - EN","VILLAGE DE LA CAPITALE","Exact","Enabled"
"DEV - Modon Egypt - Search - Mobile","Lagoons New Capital - EN","Lagoons New Capital","Exact","Enabled"
"DEV - Modon Egypt - Search - Mobile","Modon Green River Tower - AR","مدن النهر الاخضر تاور","Exact","Enabled"
"DEV - Palm Hills Developments - Search - Mobile","PX-Phase One - EN","PX-Phase One","Exact","Enabled"
"DEV - New Plan - Search - Mobile","Tonino Lamborghini Residences - EN","Tonino Lamborghini Residences","Exact","Enabled"
"DEV - New Plan - Search - Mobile","Atika - AR","أتيكا","Exact","Enabled"
"DEV - Palm Hills Developments - Search - Mobile","Jirian-Phase One - AR","جريان المرحلة الاولى","Exact","Enabled"
"DEV - Palm Hills Developments - Search - Mobile","Hacienda Waters - EN","Hacienda Waters","Exact","Enabled"
"DEV - New Plan - Search - Mobile","Atika - EN","Atika","Exact","Enabled"
"DEV - Modon Egypt - Search - Mobile","Boutique Village 2 - EN","Boutique Village 2","Exact","Enabled"
"DEV - New Plan - Search - Mobile","Talah - AR","طله","Exact","Enabled"
"DEV - New Plan - Search - Mobile","Tonino Lamborghini Residences - AR","تونينو لامبورجيني ريزيدنس","Exact","Enabled"
"DEV - Modon Egypt - Search - Mobile","Boutique Village 2 - AR","بوتيك فيلدج 2","Exact","Enabled"
"DEV - New Plan - Search - Mobile","Amara - AR","امارا","Exact","Enabled"
"DEV - City Edge Developments - Search - Mobile","New Garden City - AR","نيو جاردن سيتى","Exact","Enabled"
"DEV - City Edge Developments - Search - Mobile","Il Latini City Edge - EN","Il Latini City Edge","Exact","Enabled"
"DEV - City Edge Developments - Search - Mobile","New Garden City - EN","New Garden City","Exact","Enabled"
"DEV - Taj Misr Developments - Search - Mobile","Dejoya Residence - EN","Dejoya Residence","Exact","Enabled"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower 2 - AR","تاج تاور 2","Exact","Enabled"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower - AR","تاج تاور","Exact","Enabled"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower - EN","Taj Tower","Exact","Enabled"
"DEV - Taj Misr Developments - Search - Mobile","Dejoya Residence - AR","ديجويا ريزيدنس","Exact","Enabled"
"DEV - Taj Misr Developments - Search - Mobile","De Joya 4 - EN","De Joya 4","Exact","Enabled"
"DEV - Palm Hills Developments - Search - Mobile","PX-Phase One - AR","بي إكس المرحلة الأولى","Exact","Enabled"
"DEV - New Plan - Search - Mobile","Amara - EN","Amara","Exact","Enabled"
"DEV - Palm Hills Developments - Search - Mobile","Jirian-Phase One - EN","Jirian-Phase One","Exact","Enabled"
"DEV - Palm Hills Developments - Search - Mobile","Hacienda Waters - AR","هاسيندا ووترز","Exact","Enabled"
"DEV - Modon Egypt - Search - Mobile","The V Residence - Villagio - EN","The V Residence - Villagio","Exact","Enabled"
"DEV - Modon Egypt - Search - Mobile","Lagoons New Capital - AR","لاجونز العاصمة","Exact","Enabled"
"DEV - Modon Egypt - Search - Mobile","The V Residence - Villagio - AR","ذا فى ريزيدنس - فيلاجيو","Exact","Enabled"
"DEV - Modon Egypt - Search - Mobile","Modon Green River Tower - EN","Modon Green River Tower","Exact","Enabled"
"DEV - Palm Hills Developments - Search - Mobile","VILLAGE DE LA CAPITALE - AR","فيلاج دو لا كابيتال","Exact","Enabled"
"DEV - Hyde Park - Search - Mobile","Hyde Park Central - EN","Hyde Park Central","Exact","Enabled"
"DEV - Hyde Park - Search - Mobile","Lagoon Town - AR","لاجون تاون","Exact","Enabled"
"DEV - Hyde Park - Search - Mobile","Hyde Park Signature - AR","هايد بارك سيجنتشر","Exact","Enabled"
"DEV - Hyde Park - Search - Mobile","Hyde Park Signature - EN","Hyde Park Signature","Exact","Enabled"
"DEV - Hyde Park - Search - Mobile","Parkway Residence - Hyde Park - EN","Parkway Residence - Hyde Park","Exact","Enabled"
"DEV - Hyde Park - Search - Mobile","Parkway Residence - Hyde Park - AR","بارك واي ريزيدنس - هايد بارك","Exact","Enabled"
"DEV - Hyde Park - Search - Mobile","Lagoon Town - EN","Lagoon Town","Exact","Enabled"
"DEV - Hyde Park - Search - Mobile","Hyde Park Central - AR","هايد بارك سنترال","Exact","Enabled"
"DEV - Saudi Egyptian Developers (SED) - Search - Mobile","Il Latini SED - EN","Il Latini SED","Exact","Enabled"
"DEV - Better Home - Search - Mobile","Midtown condo - EN","Midtown condo","Exact","Enabled"
"DEV - Gates Development - Search - Mobile","Venia - EN","Venia","Exact","Enabled"
"DEV - Gates Development - Search - Mobile","Catalan - EN","Catalan","Exact","Enabled"
"DEV - Saudi Egyptian Developers (SED) - Search - Mobile","Il Latini SED - AR","SED الحي اللاتيني","Exact","Enabled"
"DEV - Gates Development - Search - Mobile","Lyv Caesar - Ras El Hekma - EN","Lyv Caesar - Ras El Hekma","Exact","Enabled"
"DEV - Better Home - Search - Mobile","Cairo Business Plaza - AR","كايرو بيزنس بلازا","Exact","Enabled"
"DEV - Gates Development - Search - Mobile","Venia - AR","فينيا","Exact","Enabled"
"DEV - Saudi Egyptian Developers (SED) - Search - Mobile","Tierra - AR","تييرا","Exact","Enabled"
"DEV - Better Home - Search - Mobile","Midtown condo - AR","ميد تاون كوندو","Exact","Enabled"
"DEV - Saudi Egyptian Developers (SED) - Search - Mobile","Marina 8 By The Lake - AR","مارينا 8 باى ذا ليك","Exact","Enabled"
"DEV - Gates Development - Search - Mobile","Lugar - AR","لوجار","Exact","Enabled"
"DEV - Gates Development - Search - Mobile","Catalan - AR","كاتالان","Exact","Enabled"
"DEV - Saudi Egyptian Developers (SED) - Search - Mobile","Tierra - EN","Tierra","Exact","Enabled"
